product_name,slug,gtin,brand,category,servings,description,image,retailer_name,retailer_website,price,shipping_cost,url,in_stock
GYM HIGH CREA-4 Elite Capsules,gym-high-crea-4-elite,0742978960459,GYM HIGH,Creatine,60,"Smarter Creatine. Zero Bloat. All Gains. CREA-4 Elite is a powerful 4-in-1 creatine capsule designed for strength, endurance, and recovery — without the bloating or mess of powders. Vegan-friendly, clean label, and made for serious lifters and athletes of all genders.",https://gymhigh.co.uk/wp-content/uploads/2024/06/CREA-4-Elite-Capsules.webp,GYM HIGH,https://gymhigh.co.uk,25.99,3.99,https://gymhigh.co.uk/?post_type=product&p=632,true
GYM HIGH Testo Pro 180 Capsules,gym-high-testo-pro-180-capsules,0742978960411,GYM HIGH,Health Supplements,,"Natural testosterone support with 17 fully listed ingredients — Hormone Activator and System Guard in one formula. \n \nKSM-66 Ashwagandha, D-Aspartic Acid, Tongkat Ali, Fenugreek, Nettle Root, Zinc, Boron and more — every ingredient dosed transparently across two targeted blends. 3 capsules morning, 3 capsules evening. 60 servings. Not for under 18s. \n \n 🔬 17 active ingredients — every dose listed \n ⚡ KSM-66 Ashwagandha — 600 mg daily \n 🛡️ System Guard — liver health & estrogen management \n 🇬🇧 Lab tested. UK made.",https://gymhigh.co.uk/wp-content/uploads/2024/06/Testo-Pro-Capsules.webp,GYM HIGH,https://gymhigh.co.uk,55.99,3.99,https://gymhigh.co.uk/?post_type=product&p=635,true
GYM HIGH BCAA 120 Capsules,gym-high-bcaa-120-capsules,0742978960497,GYM HIGH,Amino Acids,,"GYM HIGH™ BCAA – Fast-Acting Muscle Recovery & Performance \n Power up your workouts with GYM HIGH™ BCAA , a premium blend of L-Leucine, L-Isoleucine, and L-Valine with added electrolytes for muscle growth, endurance, and recovery . \n ✔ Boosts Muscle Growth – Supports protein synthesis & repair ✔ Enhances Endurance – Reduces fatigue for longer workouts ✔ Speeds Up Recovery – Minimizes soreness & muscle breakdown ✔ Hydration Support – Added electrolytes for optimal performance ✔ Fast-Absorbing Formula – Black pepper extract for better absorption \n Train harder, recover faster—try GYM HIGH™ BCAA today!",https://gymhigh.co.uk/wp-content/uploads/2024/06/BCAA-Capsules-amino-acids.webp,GYM HIGH,https://gymhigh.co.uk,17.99,3.99,https://gymhigh.co.uk/?post_type=product&p=638,true
GYM HIGH Hydro Amino,gym-high-hydro-amino,,GYM HIGH,Amino Acids,35,"GYM HIGH™ Hydro Amino – Hydrate, Perform, Recover \n Fuel your active lifestyle with GYM HIGH™ Hydro Amino , a powerful blend of EAAs, BCAAs, B-vitamins, nootropics, and natural electrolytes in a refreshing, easy-to-mix drink. \n ✔ Boosts Energy & Focus – Enhances mental clarity & performance ✔ Builds & Preserves Muscle – Supports muscle growth & recovery ✔ Natural Hydration – Coconut water electrolytes for optimal balance ✔ Fast Recovery – Reduces fatigue & muscle soreness ✔ Zero Sugar, Zero Calories – Gluten-free, soy-free, & keto-friendly \n Stay hydrated, stay strong—try GYM HIGH™ Hydro Amino today!",https://gymhigh.co.uk/wp-content/uploads/2024/06/Hydro-Amino.webp,GYM HIGH,https://gymhigh.co.uk,33.99,3.99,https://gymhigh.co.uk/?post_type=product&p=639,true
GYM HIGH Whey Pro Synergy 1.8kg,gym-high-whey-pro-synergy-18kg,,GYM HIGH,Whey Protein,,"25.2 g protein per serving from whey isolate and casein — with 400 mg probiotic blend for gut comfort. \n \nFast-release whey and slow-release casein in one shake. Four probiotic strains added so it's gentle enough for everyday use. Mixes clean in water. 1.8 kg tub, 60 servings, 6 flavours. \n \n 💪 25.2 g protein per serving (50% NRV) \n 🧬 50/50 whey isolate & micellar casein \n 🦠 400 mg probiotic blend — 4 strains \n 🍫 6 flavours — 60 servings / 1.8 kg",https://gymhigh.co.uk/wp-content/uploads/2024/06/Whey-Pro-Synergy-1.8kg.webp,GYM HIGH,https://gymhigh.co.uk,69.99,0.00,https://gymhigh.co.uk/?post_type=product&p=646,false
GYM HIGH Whey Pro Synergy Dynamic 600g,gym-high-whey-pro-synergy-dynamic-600g,,GYM HIGH,Whey Protein,,"GYM HIGH™ Whey Pro Synergy – Advanced Protein with Probiotic Power \n Fuel your fitness goals with GYM HIGH™ Whey Pro Synergy , a premium blend of whey, casein, and probiotics designed for maximum muscle growth, recovery, and gut health. \n \n Why Choose GYM HIGH™ Whey Pro Synergy? \n ✔ Fast & Sustained Protein Release – Whey for quick absorption, casein for long-term muscle support ✔ Enhanced Digestion & Tolerance – Added probiotics improve gut health & protein absorption ✔ Supports Muscle Growth & Recovery – Ideal for pre/post-workout & nighttime recovery ✔ Boosts Immunity & Metabolism – Probiotic strains promote overall well-being ✔ Reduces Bloating & Gut Discomfort – Helps prevent common digestive issues associated with protein supplements \n Premium Protein + Probiotic Benefits = Superior Performance. Elevate your results with GYM HIGH™ Whey Pro Synergy today!",https://gymhigh.co.uk/wp-content/uploads/2024/06/Whey-Pro-Synergy-20-Servings.webp,GYM HIGH,https://gymhigh.co.uk,29.99,3.99,https://gymhigh.co.uk/?post_type=product&p=655,false
GYM HIGH Mass Gainer,gym-high-mass-gainer,,GYM HIGH,Mass Gainer,14,"GYM HIGH™ Mass Gainer – Maximize Your Muscle Gains \n Take your muscle-building journey to the next level with GYM HIGH™ Mass Gainer , a premium formula designed to fuel your growth, enhance recovery, and deliver optimal nutrition for serious gains. \n \n What Makes GYM HIGH™ Mass Gainer the Ultimate Choice? \n ✔ Powerful Carb & Protein Blend – Features rolled oats, sweet potato, maltodextrin, whey, casein, hydrolyzed egg white, and more for sustained energy and muscle repair. ✔ Enhanced Recovery & Muscle Support – Fortified with BCAAs, micronized L-glutamine, and MCTs to boost endurance and speed up recovery. ✔ Superior Digestion & Absorption – Includes a digestive enzyme blend (amylase, lipase, bromelain, papain) for maximum nutrient uptake. ✔ Loaded with Essential Nutrients – A complete vitamin & mineral blend to support overall health and performance. ✔ Delicious & Nutritious – Rich cocoa, coconut milk powder, and quinoa for a great taste and extra nutritional value. \n 🔥 Bulk Up Smarter, Recover Faster, and Perform Better! 🔥 Whether you’re a bodybuilder, powerlifter, or looking to gain size , GYM HIGH™ Mass Gainer is your ultimate fuel for serious results . \n 💪 Try it today and transform your physique! 💪",https://gymhigh.co.uk/wp-content/uploads/2024/06/Mass-Gainer.webp,GYM HIGH,https://gymhigh.co.uk,31.99,3.99,https://gymhigh.co.uk/?post_type=product&p=661,true
GYM HIGH The Stinger Zero Caffeine Pump Pre Workout 425g,gym-high-the-stinger-zero-caffeine-pump-pre-workout-425g,,GYM HIGH,Pre-Workout,,"Non-stimulant pump pre-workout with 12 fully listed ingredients — zero caffeine, serious performance. \n \n3,000 mg L-Citrulline, 3,200 mg Beta-Alanine, 3,000 mg Glycerol, Betaine Nitrate, Rednite™ and more — three overlapping nitric oxide pathways for maximum pump without a single mg of caffeine. Beginners: 1 scoop. Advanced: 2 scoops. Available in Electric Red, Tropical Punch, Unflavoured. \n \n 🚫 Zero caffeine — no jitters, no crash \n 🌊 3,000 mg L-Citrulline + Betaine Nitrate + Rednite™ \n 💪 17 g per serving — 12 ingredients fully dosed \n 🇬🇧 UK made.",https://gymhigh.co.uk/wp-content/uploads/2024/06/The-Stinger.webp,GYM HIGH,https://gymhigh.co.uk,37.99,3.99,https://gymhigh.co.uk/?post_type=product&p=680,true
GYM HIGH The Stacker,gym-high-the-stacker,,GYM HIGH,Pre Workout,30,"\n \n \n \n \n \n \n \n \n GYM HIGH™ The Stacker – Nootropic, Pre-Workout, Thermogenic & Fat Burner \n The Stacker by GYM HIGH™ is a powerful multi-component supplement that combines nootropic, pre-workout, thermogenic, and fat-burning ingredients to enhance your energy, focus, stamina, and performance. Designed to help you push harder in workouts and burn more calories, it also supports weight loss by boosting metabolism and mobilizing fat. With a unique blend of clinically proven ingredients like Beta-Alanine, L-Tyrosine, Caffeine, and Cocoabuterol, The Stacker promotes muscle endurance, cognitive function, and fat burning without the crash or jitters. \n ✔ Boosts energy, focus, & mental clarity ✔ Enhances endurance, strength & workout performance ✔ Promotes fat burning & weight loss ✔ Increases metabolism & mobilizes fatty acids ✔ Supports mood, alertness & cognitive function \n How to use: Mix one serving with water or your favorite beverage before your workout to elevate performance and support fat loss. \n \n \n \n \n \n \n \n \n \n",https://gymhigh.co.uk/wp-content/uploads/2024/06/The-Stacker.png,GYM HIGH,https://gymhigh.co.uk,37.99,3.99,https://gymhigh.co.uk/?post_type=product&p=696,true
GYM HIGH L-Glutamine  Powder 500g,gym-high-l-glutamine--powder-500g,0742978960350,GYM HIGH,Amino Acids,,"100% pure L-Glutamine — no fillers, no additives, nothing else. \n \nYour body uses glutamine for muscle recovery, gut health, and immune support — but intense training depletes it faster than you can replace it. 5 g per serving, unflavoured, mixes into any shake without changing the taste. \n \n 💪 5 g per serving — 100 servings per tub \n 🔬 100% pure — no fillers or additives \n 🌱 Vegan-friendly, lactose-free \n ➕ Unflavoured — add to any shake",https://gymhigh.co.uk/wp-content/uploads/2024/06/L-Glutamine-Powder.webp,GYM HIGH,https://gymhigh.co.uk,21.99,3.99,https://gymhigh.co.uk/?post_type=product&p=700,true
