retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,4110,4110,7Nutrition Melatonin 1mg 60 Capsules,Default,7Nutrition,Health Supplements,"Melatonin - a sleep hormone, a substance that affects healthy and restful sleep, positively affecting its quantity, quality and duration.
\n
\n&nbsp;",https://6pack-supplements.co.uk/wp-content/uploads/2020/12/eng_pl_7Nutrition-Melatonin-60-caps-2523_1.png,7nutrition-melatonin-1mg-60-capsules,https://6pack-supplements.co.uk/product/melatonin-4mg-60-caps-7nutrition/,https://6pack-supplements.co.uk/product/melatonin-4mg-60-caps-7nutrition/,5904067876767,9.99,true,4.99,true,true,,,,capsule,1,2026-07-27T13:28:08.056Z,5904067876767,"{""Brands"":""7 Nutrition""}",951,1853
6 Pack Supplements,https://6pack-supplements.co.uk,4112,4112,Reflex Nutrition Magnesium Bisglycinate 90 Capsules,Default,Reflex Nutrition,Health Supplements,"<h3 style=""text-align: center;"" data-start=""143"" data-end=""227"">Magnesium Bisglycinate 90 caps - Reflex Nutrition</h3>
\n<p data-start=""229"" data-end=""626"">Magnesium Bisglycinate 90 caps - Reflex Nutrition provides<span style=""box-sizing: border-box; margin: 0px; padding: 0px;""> a highly bioavailable form of magnesium – <strong>Albion Magnesium Bisglycinate Chelate</strong> – renowned for its </span>superior absorption and gentle effect on the digestive system. Magnesium is an essential mineral involved in over 300 biochemical processes in the body, supporting muscle function, nervous system health, energy production, and electrolyte balance.</p>
\n
\n
\n<hr data-start=""628"" data-end=""631"" />
\n
\n<h4 data-start=""633"" data-end=""655""><strong data-start=""638"" data-end=""655"">Key Benefits:</strong></h4>
\n<p data-start=""657"" data-end=""1047"">✅ <strong data-start=""659"" data-end=""685"">Highly absorbable form</strong> – Albion® Magnesium Bisglycinate for maximum effectiveness<br data-start=""744"" data-end=""747"" />✅ <strong data-start=""749"" data-end=""784"">Supports normal muscle function</strong> – ideal for athletes and active individuals<br data-start=""828"" data-end=""831"" />✅ <strong data-start=""833"" data-end=""881"">Contributes to reduced tiredness and fatigue</strong><br data-start=""881"" data-end=""884"" />✅ <strong data-start=""886"" data-end=""928"">Helps maintain healthy bones and teeth</strong><br data-start=""928"" data-end=""931"" />✅ <strong data-start=""933"" data-end=""991"">Supports the nervous system and psychological function</strong><br data-start=""991"" data-end=""994"" />✅ Gentle on the stomach, suitable for long-term use</p>
\n
\n
\n<hr data-start=""1049"" data-end=""1052"" />
\n
\n<h4 data-start=""1054"" data-end=""1114""><strong data-start=""1059"" data-end=""1114"">Why choose Reflex Nutrition Magnesium Bisglycinate?</strong></h4>
\n<ul data-start=""1116"" data-end=""1408"">
\n 	<li data-start=""1116"" data-end=""1215"">
\n<p data-start=""1118"" data-end=""1215"">Contains <strong data-start=""1127"" data-end=""1166"">Albion® patented chelated magnesium</strong> – clinically proven for better bioavailability</p>
\n</li>
\n 	<li data-start=""1216"" data-end=""1266"">
\n<p data-start=""1218"" data-end=""1266"">No unnecessary fillers or artificial additives</p>
\n</li>
\n 	<li data-start=""1267"" data-end=""1310"">
\n<p data-start=""1269"" data-end=""1310"">Suitable for <strong data-start=""1282"" data-end=""1308"">vegetarians and vegans</strong></p>
\n</li>
\n 	<li data-start=""1311"" data-end=""1408"">
\n<p data-start=""1313"" data-end=""1408"">Perfect for people with high stress levels, intense workouts, or low dietary magnesium intake</p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1410"" data-end=""1413"" />
\n<p data-start=""1415"" data-end=""1494""><strong data-start=""1415"" data-end=""1432"">Package Size:</strong> 90 capsules<br data-start=""1444"" data-end=""1447"" /><strong data-start=""1447"" data-end=""1464"">Serving Size:</strong> 3 capsules daily with water</p>
\n
\n
\n<hr data-start=""1496"" data-end=""1499"" />
\n<p data-start=""1501"" data-end=""1626""><strong data-start=""1501"" data-end=""1534"">Ingredients (per 3 capsules):</strong><br data-start=""1534"" data-end=""1537"" />Magnesium (as Albion® Magnesium Bisglycinate) – 375mg</p>
\n
\n
\n<hr data-start=""1628"" data-end=""1631"" />
\n<p data-start=""1633"" data-end=""1756"">Magnesium Bisglycinate 90 caps - Reflex Nutrition – the smart choice for energy, muscle recovery, and overall well-being.</p>",https://6pack-supplements.co.uk/wp-content/uploads/2020/12/reflex-nutrition-magnesium-bisglycinate-sleep-recovery-6pack-supplements.jpg,reflex-nutrition-magnesium-bisglycinate-90-capsules,https://6pack-supplements.co.uk/product/magnesium-bisglycinate-90-caps-reflex-nutrition/,https://6pack-supplements.co.uk/product/magnesium-bisglycinate-90-caps-reflex-nutrition/,,12.00,true,4.99,true,true,,,,capsule,1,2026-07-27T13:28:08.056Z,5901330032271,"{""Brands"":""Reflex Nutrition""}",726,627
6 Pack Supplements,https://6pack-supplements.co.uk,4627,4627,7Nutrition Potassium Citrate 120 Vege Caps,Default,7Nutrition,Health Supplements,"<h3 data-start=""136"" data-end=""228""><strong data-start=""140"" data-end=""228"">7Nutrition Potassium Citrate – Electrolyte &amp; Muscle Function Support (120 Vege Caps)</strong></h3>
\n<p data-start=""230"" data-end=""593""><strong data-start=""230"" data-end=""262"">7Nutrition Potassium Citrate</strong> provides a highly bioavailable form of <strong data-start=""302"" data-end=""315"">potassium</strong>, an essential mineral and electrolyte that plays a crucial role in <strong data-start=""383"" data-end=""441"">nerve transmission, muscle function, and fluid balance</strong>. Potassium is essential for athletes, active individuals, and <strong data-start=""541"" data-end=""592""><span style=""box-sizing: border-box; margin: 0px; padding: 0px;"">those seeking to support <strong>cardiovascular health and maintain </strong></span>normal blood pressure</strong>.</p>
\n<p data-start=""595"" data-end=""742"">This clean, vegan-friendly formula helps maintain proper electrolyte balance and supports optimal performance during exercise and daily activities.</p>
\n
\n
\n<hr data-start=""744"" data-end=""747"" />
\n
\n<h4 data-start=""749"" data-end=""771""><strong data-start=""754"" data-end=""771"">Key Benefits:</strong></h4>
\n<p data-start=""773"" data-end=""1130"">✅ <strong data-start=""775"" data-end=""810"">Supports normal muscle function</strong> – helps prevent cramps and fatigue<br data-start=""845"" data-end=""848"" />✅ <strong data-start=""850"" data-end=""890"">Maintains proper electrolyte balance</strong> – crucial during workouts and hot conditions<br data-start=""935"" data-end=""938"" />✅ <strong data-start=""940"" data-end=""975"">Promotes healthy blood pressure</strong> and cardiovascular function<br data-start=""1003"" data-end=""1006"" />✅ <strong data-start=""1008"" data-end=""1058"">Supports nerve signalling and energy metabolism</strong><br data-start=""1058"" data-end=""1061"" />✅ Ideal for <strong data-start=""1073"" data-end=""1128"">active individuals and those on low-potassium diets</strong></p>
\n
\n
\n<hr data-start=""1132"" data-end=""1135"" />
\n
\n<h4 data-start=""1137"" data-end=""1186""><strong data-start=""1142"" data-end=""1186"">Why Choose 7Nutrition Potassium Citrate?</strong></h4>
\n<ul data-start=""1188"" data-end=""1459"">
\n 	<li data-start=""1188"" data-end=""1258"">
\n<p data-start=""1190"" data-end=""1258""><strong data-start=""1190"" data-end=""1231"">Highly bioavailable potassium citrate</strong> for effective absorption</p>
\n</li>
\n 	<li data-start=""1259"" data-end=""1319"">
\n<p data-start=""1261"" data-end=""1319""><strong data-start=""1261"" data-end=""1287"">Vegan-friendly formula</strong> with no unnecessary additives</p>
\n</li>
\n 	<li data-start=""1320"" data-end=""1405"">
\n<p data-start=""1322"" data-end=""1405"">Perfect for <strong data-start=""1334"" data-end=""1403"">athletes, people on keto or low-carb diets, and active lifestyles</strong></p>
\n</li>
\n 	<li data-start=""1406"" data-end=""1459"">
\n<p data-start=""1408"" data-end=""1459"">Helps replenish electrolytes naturally and safely</p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1461"" data-end=""1464"" />
\n<p data-start=""1466"" data-end=""1613""><strong data-start=""1466"" data-end=""1483"">Serving Size:</strong> 120 vegetable capsules<br data-start=""1506"" data-end=""1509"" /><strong data-start=""1509"" data-end=""1527"">Suggested Use:</strong> Take <strong data-start=""1533"" data-end=""1555"">1 capsule daily (750mg)</strong> with water or as directed by a healthcare professional.</p>
\n
\n
\n<hr data-start=""1615"" data-end=""1618"" />
\n<p data-start=""1620"" data-end=""1738""><strong data-start=""1620"" data-end=""1652"">7Nutrition Potassium Citrate</strong> – essential mineral support for <strong data-start=""1685"" data-end=""1737"">muscle health, hydration, and overall well-being</strong>.</p>",https://6pack-supplements.co.uk/wp-content/uploads/2021/01/7nutrition-potassium-electrolytes-heart-recovery-6pack-supplements.jpg,7nutrition-potassium-citrate-120-vege-caps,https://6pack-supplements.co.uk/product/7nutrition-potassium-citrate-120-vege-caps/,https://6pack-supplements.co.uk/product/7nutrition-potassium-citrate-120-vege-caps/,,14.00,true,4.99,true,true,,,,,1,2026-07-27T13:28:08.056Z,RN2003144,"{""Brands"":""7 Nutrition""}",327,319
6 Pack Supplements,https://6pack-supplements.co.uk,6303,6305,Applied Nutrition BCAA Amino Hydrate 450g,Watermelon / 450g,Applied Nutrition,Amino Acids,BCAA Amino Hydrate was formulated to deliver maximum amounts of highly tested Branch Chain Amino Acids that will maximize your training intensity and longevity while flooding your body with a perfect blend of re-hydrating electrolytes and salts with added Citrulline for intra workout pump.,https://6pack-supplements.co.uk/wp-content/uploads/2021/04/bcaa-amino-hydrate-Applied-Nutrition-6pack-supplements.jpg,applied-nutrition-bcaa-amino-hydrate-450g,https://6pack-supplements.co.uk/product/bcaa-amino-hydrate-450g-applied-nutrition/,https://6pack-supplements.co.uk/product/bcaa-amino-hydrate-450g-applied-nutrition/,,24.99,true,4.99,true,true,450,g,Watermelon,powder,1,2026-07-27T13:28:08.056Z,,"{""Flavour"":""Watermelon""}",37,745
6 Pack Supplements,https://6pack-supplements.co.uk,3612,87012,Applied Nutrition Critical Whey 2kg,Chocolate / 2kg,Applied Nutrition,Whey Protein,"<h1>Critical Whey 2kg - Applied Nutrition</h1>
\n<h2>Whey Protein Concentrate • Whey ISO-XP • Hydrolysed Whey</h2>
\n<h2>2.27kg | 75 Servings</h2>
\n<h3>Critical Whey 2kg - Applied Nutrition has been developed using a unique blend of Whey Protein Concentrate, Whey Protein Isolate &amp; Hydrolysed Whey Protein. Whey Protein Concentrate is produced by Ultra-Filtration Technology containing high levels of Protein and Branched Chain Amino Acids (BCAAs). Whey Protein Isolate is the highest quality of Protein and is produced using Cross-Flow-Micro-Filtration. Hydrolysed Whey Protein is a pre-digested Protein enzymatically broken down into Peptides. These high biological value and easily digested Proteins support the growth and maintenance of muscle.</h3>
\nCritical Whey 2kg - Applied Nutrition provides 21g of Protein derived from Grass Fed Cows, 4.8g of naturally occurring BCAAs &amp; 4g of Glutamine per serving. Critical Whey Protein is Gluten Free, Halal Certified, low in Sugar and makes a great tasting shake – just add to water or low-fat milk.
\n<h3>KEY BENEFITS</h3>
\n<ul>
\n 	<li>Build &amp; Maintain Muscle</li>
\n 	<li>Delicious Taste &amp; Mixes Instantly</li>
\n 	<li>Gluten Free</li>
